---Model---
date, tmin, tmax
---Observation urban---
2001-08-06,26.17,33.61000000000001
2001-08-07,28.080000000000002,34.910000000000004
2001-08-08,25.700000000000003,34.129999999999995
2002-07-01,27.240000000000002,33.1
2002-07-02,27.619999999999997,33.269999999999996
2010-07-05,26.61,33.230000000000004
2010-07-06,28.4,33.650000000000006
2010-07-07,27.57,33.08
2011-07-21,26.8,33.160000000000004
2018-06-30,27.36,33.59
2018-07-01,28.630000000000003,34.660000000000004
2018-07-02,26.76,34.2
2018-07-03,27.520000000000003,33.400000000000006
2020-05-26,25.5,33.4
2020-06-18,24.92,33.11
2020-06-19,25.820000000000004,33.24
2020-06-20,26.360000000000007,33.89
2020-06-21,26.340000000000003,34.03
2020-07-09,27.17,33.2
2021-08-20,26.92,33.53
2021-08-21,26.44,33.269999999999996
2021-08-24,26.950000000000003,33.230000000000004
---Observation rural---
2001-08-07,26.9,33.62000000000001
2001-08-08,23.90285714285714,33.19428571428572
2010-07-05,25.640000000000004,33.23428571428572
2010-07-06,27.568571428571428,33.797142857142866
2010-07-07,27.382857142857144,33.494285714285716
2018-07-01,26.973333333333333,33.682857142857145
2018-07-02,24.313333333333333,33.31714285714286
2020-05-26,23.931428571428572,33.02285714285715
2020-06-20,24.054285714285722,33.300000000000004
2020-06-21,24.214285714285715,33.45428571428572
2020-07-09,25.70285714285714,33.105714285714285
---CLASS urban---
2001-07-23,294.71221363726374,308.09543189342224
2001-07-24,296.36564202850707,307.49658539226687
2001-08-03,294.59160655593826,306.6865677106446
2001-08-07,294.5358954625696,308.70266438680426
2001-08-08,294.67235632928646,309.9351742761668
2001-08-09,294.36195741570424,311.0355689871486
2001-08-10,294.1956738508122,308.2713926246439
2002-07-01,294.20406481341047,308.19989413418506
2002-07-02,294.5370991035598,308.8458227930772
2002-07-03,294.60611213393236,308.9984197322246
2002-07-04,294.4700700886374,307.3511904777894
2002-07-17,293.5486031006234,307.99889686734497
2002-07-18,295.7015028381139,308.71237030733784
2002-07-19,293.5333826537223,306.6794988929823
2002-07-21,294.09744860930203,309.07819437663875
2002-07-22,296.60768337384764,311.67478632153444
2002-07-23,296.5254966366484,308.48410379867806
2002-08-01,294.43004438571916,307.127194270901
2002-08-02,294.92274324948824,308.38142465948636
2002-08-03,294.1621043697163,308.2560202358844
2002-08-13,293.96782719535645,308.2717347272857
2002-08-14,294.20581154115854,309.3646672549022
2002-08-15,295.5736091934522,307.4785701574939
2003-08-21,294.63502327187575,306.9319181554553
2005-06-26,293.9298485406432,307.11748356976574
2005-07-20,293.798524914993,306.9732272467405
2005-07-21,293.5122598771578,307.5697237858407
2005-08-10,293.8133164990736,308.8198718961539
2005-08-11,295.2676011722994,307.6318421176967
2006-07-15,294.4295312634165,309.2134560292084
2006-07-16,294.8211949125888,309.5175926495356
2006-07-17,295.6352287647368,309.4353221583044
2006-07-18,295.45123747402306,307.5703839989877
2006-08-01,293.25179421116377,306.8846701612953
2006-08-02,296.3042256432698,307.5086834834215
2007-06-27,295.4528881304894,307.345021959859
2007-07-26,294.4424328873042,309.11175006174665
2007-07-27,296.4493013345656,309.6836419778206
2007-07-28,294.23768980306545,307.1696545643364
2008-07-13,293.29627701958486,306.9899923880645
2009-08-17,293.75256523339203,307.9788236036406
2009-08-18,295.1154082563303,306.6667194001201
